,tg,p_5,p_10,p_15,p_20,p_25,p_30,p_40,p_50,visual_inspection,lon,lat,recordLength,recordSign,obsRecordLength,numYearsGained,yrGainedSign
0,"aasiaat,greenland_001.csv",2008,1972,1964,1961,1941,1900,1900,1900,1940,-52.883,68.71,70.0,50-75,1,69.0,60-90
1,abashiri_japan.csv,2004,1949,1944,1944,1900,1900,1900,1900,1900,144.28,44.017,110.0,100-125,51,59.0,30-60
2,aberdeen_p038_uk.csv,2009,1988,1900,1900,1900,1900,1900,1900,1900,-2.0745,57.143,110.0,100-125,45,65.0,60-90
3,"adak,alaska_040a_usa.csv",2007,2007,1999,1999,1943,1943,1943,1900,1943,-176.63,51.863,67.0,50-75,55,12.0,0-30
4,ajaccio_aspretto_france.csv,2008,1900,1900,1900,1900,1900,1900,1900,1900,8.7628,41.923,110.0,100-125,10,100.0,90-120
5,alameda_navalairstation__usa.csv,2009,1994,1947,1939,1939,1939,1900,1900,1939,-122.3,37.772,71.0,50-75,35,36.0,30-60
6,albany_001_australia.csv,2009,1994,1994,1994,1994,1994,1900,1900,1994,117.88,-35.024,16.0,0-50,38,-22.0,(-30)-(-15)
7,alcudia_alcudia_spain.csv,1993,1957,1900,1900,1900,1900,1900,1900,1900,3.1392,39.835,110.0,100-125,5,105.0,90-120
8,ammassalik_297a_denmark.csv,2009,2009,1975,1971,1971,1971,1932,1932,1971,-37.0,65.6,39.0,0-50,5,34.0,30-60
9,ancona_ancona_italy.csv,1993,1921,1900,1900,1900,1900,1900,1900,1900,13.506,43.625,110.0,100-125,17,93.0,90-120
10,andenes_001.csv,2008,1988,1900,1900,1900,1900,1900,1900,1900,16.15,69.317,110.0,100-125,12,98.0,90-120
11,angra_heroismo_b_215b_portugal.csv,1978,1966,1944,1944,1900,1900,1900,1900,1900,-27.24,38.65,110.0,100-125,11,99.0,90-120
12,annapolis_navalacademy__usa.csv,1956,1956,1956,1900,1900,1900,1900,1900,1900,-76.482,38.983,110.0,100-125,61,49.0,30-60
13,apalachicola_usa.csv,2003,2003,1900,1900,1900,1900,1900,1900,1938,-84.982,29.727,72.0,50-75,19,53.0,30-60
14,arcachon_eyrac_.csv,2002,1978,1921,1921,1916,1900,1900,1900,1921,-1.1636,44.665,89.0,75-100,12,77.0,60-90
15,"arena_cove,_ca_573a_usa.csv",2009,1983,1978,1934,1934,1934,1900,1900,1934,-123.71,38.913,76.0,75-100,18,58.0,30-60
16,"astoria,or_572a_usa.csv",2005,1994,1994,1972,1947,1947,1900,1900,1947,-123.77,46.208,63.0,50-75,86,-23.0,(-30)-(-15)
17,atlantic_city_264a_usa.csv,1971,1942,1931,1900,1900,1900,1900,1900,1940,-74.418,39.355,70.0,50-75,94,-24.0,(-30)-(-15)
18,auckland_070a_new_zealand.csv,2007,1995,1970,1948,1920,1920,1900,1900,1920,174.77,-36.85,90.0,75-100,5,85.0,60-90
19,ayukawa_japan.csv,2004,1988,1953,1945,1944,1944,1944,1944,1944,141.5,38.3,66.0,50-75,45,21.0,0-30
20,bakar_bakar_I_croatia.csv,1993,1993,1900,1900,1900,1900,1900,1900,1900,14.533,45.3,110.0,100-125,40,70.0,60-90
21,baltimore_usa.csv,1944,1940,1940,1900,1900,1900,1900,1900,1940,-76.578,39.267,70.0,50-75,65,5.0,0-30
22,bangor_p662_uk.csv,2009,2009,2009,1921,1921,1900,1900,1900,1947,-5.6695,54.665,63.0,50-75,15,48.0,30-60
23,barcelona_barcelona_spain.csv,1994,1957,1900,1900,1900,1900,1900,1900,1900,2.163,41.342,110.0,100-125,22,88.0,60-90
24,"barharbor,frenchmanbay,me_usa.csv",2004,2004,2004,1943,1943,1931,1900,1900,1931,-68.205,44.392,79.0,75-100,49,30.0,0-30
25,barmouth_p923_uk.csv,2009,2009,2009,2009,1921,1900,1900,1900,1921,-4.0452,52.719,89.0,75-100,16,73.0,60-90
26,barseback_001_sweden.csv,2008,2008,1900,1900,1900,1900,1900,1900,1900,12.903,55.756,110.0,100-125,22,88.0,60-90
27,base_prat_b_730b_chile.csv,2009,2006,2000,2000,2000,1946,1946,1946,discard,-59.633,-62.483,,,19,,nan
28,bayonne_boucau_.csv,2007,1957,1957,1921,1900,1900,1900,1900,1900,-1.5148,43.527,110.0,100-125,36,74.0,60-90
29,bilbao_bilbao_spain.csv,1960,1957,1957,1900,1900,1900,1900,1900,1900,-3.05,43.357,110.0,100-125,22,88.0,60-90
30,bluff_072a_new_zealand.csv,2008,1992,1979,1962,1900,1900,1900,1900,1980,168.35,-46.6,30.0,0-50,17,13.0,0-30
31,bonanza_bonanza_spain.csv,2008,2008,1921,1900,1900,1900,1900,1900,1900,-6.34,36.8,110.0,100-125,22,88.0,60-90
32,"boston,ma_741a_usa.csv",2009,2009,2009,1900,1900,1900,1900,1900,1940,-71.052,42.355,70.0,50-75,90,-20.0,(-30)-(-15)
33,boulogne_sur_mer_.csv,2008,1973,1921,1921,1921,1900,1900,1900,1921,1.5777,50.727,89.0,75-100,23,66.0,60-90
34,bournemouth_p988_uk.csv,2009,1973,1973,1921,1921,1921,1900,1900,1921,-1.8749,50.714,89.0,75-100,17,72.0,60-90
35,brest_.csv,1982,1973,1973,1973,1900,1900,1900,1900,1921,-4.5,48.383,89.0,75-100,150,-61.0,(-60)-(-30)
36,bridgeport_usa.csv,1971,1940,1938,1938,1900,1900,1900,1900,1938,-73.182,41.173,72.0,50-75,45,27.0,0-30
37,bunbury_006_australia.csv,2009,2009,1994,1994,1900,1900,1900,1900,discard,115.64,-33.327,,,38,,nan
38,burnie_344a_australia.csv,1999,1983,1974,1974,1974,1973,1900,1900,1973,145.91,-41.5,37.0,0-50,20,17.0,0-30
39,cadiz_cadi_spain.csv,2009,2008,1996,1996,1996,1900,1900,1900,1900,-6.2833,36.533,110.0,100-125,48,62.0,60-90
40,cagliari_cagliari_italy.csv,1992,1988,1988,1900,1900,1900,1900,1900,1940,9.1143,39.21,70.0,50-75,17,53.0,30-60
41,calais_.csv,2009,1921,1921,1921,1900,1900,1900,1900,1921,1.8677,50.969,89.0,75-100,30,59.0,30-60
42,cambridgeii_usa.csv,1979,1956,1954,1900,1900,1900,1900,1900,1940,-76.068,38.573,70.0,50-75,34,36.0,30-60
43,cananeia_281a_brazil.csv,2009,2009,1997,1997,1997,1941,1941,1900,discard,-47.925,-25.017,,,52,,nan
44,capemay_usa.csv,1971,1942,1900,1900,1900,1900,1900,1900,1942,-74.96,38.968,68.0,50-75,42,26.0,0-30
45,cape_ferguson_343a_australia.csv,1997,1900,1900,1900,1900,1900,1900,1900,1900,147.06,-19.277,110.0,100-125,21,89.0,60-90
46,"cape_may,nj_746a_usa.csv",1971,1942,1938,1900,1900,1900,1900,1900,1940,-74.96,38.968,70.0,50-75,41,29.0,0-30
47,cape_town_704a_south_africa.csv,2007,2007,2007,1975,1945,1945,1943,1943,discard,18.433,-33.9,,,28,,nan
48,carloforte_carloforte_italy.csv,1993,1988,1988,1900,1900,1900,1900,1900,1900,8.3095,39.148,110.0,100-125,12,98.0,90-120
49,carnarvon_008_australia.csv,2007,1994,1994,1994,1900,1900,1900,1900,1900,113.66,-24.884,110.0,100-125,27,83.0,60-90
50,cascais_209a_portugal.csv,2009,1937,1900,1900,1900,1900,1900,1900,1900,-9.4167,38.692,110.0,100-125,41,69.0,60-90
51,casey_130a_australia.csv,2004,1999,1975,1975,1975,1900,1900,1900,1900,110.53,-66.283,110.0,100-125,9,101.0,90-120
52,castletownsend_835a_ireland.csv,1997,1976,1961,1921,1900,1900,1900,1900,1921,-9.1833,51.533,89.0,75-100,4,85.0,60-90
53,cedarkeyii_usa.csv,2003,2003,1964,1964,1900,1900,1900,1900,1941,-83.032,29.135,69.0,50-75,18,51.0,30-60
54,ceuta_ceta_spain.csv,2008,1921,1900,1900,1900,1900,1900,1900,1900,-5.3167,35.9,110.0,100-125,65,45.0,30-60
55,"charleston,or_575a_usa.csv",2009,2009,1994,1994,1900,1900,1900,1900,1940,-124.32,43.345,70.0,50-75,34,36.0,30-60
56,"charleston,sc_261a_usa.csv",2003,1964,1964,1964,1964,1906,1900,1900,1964,-79.925,32.782,46.0,0-50,90,-44.0,(-60)-(-30)
57,chatham_079a_new_zealand.csv,2009,2001,1945,1918,1918,1900,1900,1900,discard,-176.56,-43.947,,,6,,nan
58,chesapeake_bbt_749a_usa.csv,1946,1942,1942,1942,1941,1900,1900,1900,1942,-76.113,36.967,68.0,50-75,38,30.0,0-30
59,choshigyoko_japan.csv,1952,1945,1945,1945,1945,1944,1944,1900,1944,140.87,35.75,66.0,50-75,38,28.0,0-30
60,civitavecchia_civitavecchia_italy.csv,1988,1946,1900,1900,1900,1900,1900,1900,1900,11.79,42.094,110.0,100-125,10,100.0,90-120
61,"clearwater_bch,fl_773a_usa.csv",2006,2003,2003,2003,1900,1900,1900,1900,1941,-82.832,27.977,69.0,50-75,17,52.0,30-60
62,concarneau_.csv,2007,1973,1973,1921,1900,1900,1900,1900,1921,-3.9072,47.874,89.0,75-100,14,75.0,60-90
63,"cordova_b,alaska_583b_usa.csv",1977,1973,1943,1942,1942,1942,1900,1900,1942,-145.75,60.558,68.0,50-75,42,26.0,0-30
64,corinto_679a_nicaragua.csv,2009,2009,1995,1994,1994,1994,1900,1900,1994,-87.117,12.283,16.0,0-50,1,15.0,0-30
65,"corpus_cristi,tx_770a_usa.csv",2009,1994,1940,1940,1939,1939,1900,1900,1939,-97.217,27.58,71.0,50-75,25,46.0,30-60
66,coruna_coru_spain.csv,1957,1954,1921,1921,1900,1900,1900,1900,1955,-8.4,43.367,55.0,50-75,66,-11.0,(-15)-(0)
67,"crescent_city,ca_556a_usa.csv",2009,2009,2009,2009,1900,1900,1900,1900,1939,-124.18,41.745,71.0,50-75,69,2.0,0-30
68,cuxhaven_germany.csv,2008,1900,1900,1900,1900,1900,1900,1900,1900,8.7167,53.867,110.0,100-125,98,12.0,0-30
69,dalian_a_630a_china.csv,2008,1974,1942,1942,1942,1942,1900,1900,1942,121.66,38.925,68.0,50-75,16,52.0,30-60
70,dallmann_c_682c_unconfirmed.csv,2009,2009,2000,2000,1983,1946,1946,1946,discard,-58.683,-62.233,,,2,,nan
71,"dauphin_island,_al_763a_usa.csv",2004,2003,1900,1900,1900,1900,1900,1900,1935,-88.075,30.25,75.0,50-75,12,63.0,60-90
72,"davis,australia_001.csv",2006,2002,1945,1945,1945,1945,1900,1900,1945,78.5,-68.0,65.0,50-75,6,59.0,30-60
73,davis_173a_australia.csv,1995,1945,1944,1944,1900,1900,1900,1900,1900,77.967,-68.45,110.0,100-125,15,95.0,90-120
74,delfzijl_del_nl.csv,1987,1900,1900,1900,1900,1900,1900,1900,1900,6.9331,53.326,110.0,100-125,45,65.0,60-90
75,denhelder_hel_nl.csv,2009,1921,1921,1900,1900,1900,1900,1900,1921,4.7464,52.965,89.0,75-100,45,44.0,30-60
76,devonport_p002_uk.csv,2009,1973,1973,1973,1921,1900,1900,1900,1921,-4.1852,50.368,89.0,75-100,22,67.0,60-90
77,dieppe_.csv,2009,1973,1921,1921,1921,1900,1900,1900,1921,1.0845,49.929,89.0,75-100,38,51.0,30-60
78,donges_.csv,2000,1977,1900,1900,1900,1900,1900,1900,1900,-2.0883,47.306,110.0,100-125,24,86.0,60-90
79,dover_p012_uk.csv,2009,2002,1921,1921,1921,1900,1900,1900,1921,1.3181,51.117,89.0,75-100,51,38.0,30-60
80,"duck_pier,nc_260a_usa.csv",1952,1942,1942,1942,1942,1942,1900,1900,1942,-75.74,36.183,68.0,50-75,34,34.0,30-60
81,dumont_d_urville_189a_france.csv,2008,2007,2003,1900,1900,1900,1900,1900,1900,140.01,-66.662,110.0,100-125,2,108.0,90-120
82,dunkerque_.csv,2009,1971,1921,1921,1900,1900,1900,1900,1921,2.3667,51.048,89.0,75-100,41,48.0,30-60
83,"dutch_harbor_b,ak_041b_usa.csv",2007,2002,2002,2002,1999,1941,1900,1900,1941,-166.54,53.88,69.0,50-75,35,34.0,30-60
84,east_london_187a_south_africa.csv,2009,2009,2005,2005,1967,1967,1942,1900,discard,27.917,-33.017,,,19,,nan
85,esbjerg_130121_denmark.csv,2009,1900,1900,1900,1900,1900,1900,1900,1900,8.4333,55.467,110.0,100-125,62,48.0,30-60
86,esperance_010_australia.csv,2007,1995,1994,1994,1900,1900,1900,1900,1994,121.89,-33.861,16.0,0-50,39,-23.0,(-30)-(-15)
87,"esperanza,argentina_001.csv",2009,2009,2000,2000,2000,1990,1946,1946,discard,-56.995,-63.395,,,1,,nan
88,"esperence,australia_001.csv",2007,1995,1994,1994,1900,1900,1900,1900,discard,121.9,-33.867,,,11,,nan
89,faraday_700a_united_kingdom.csv,2009,2006,2006,2005,2005,1946,1946,1946,discard,-64.267,-65.25,,,37,,nan
90,felixstowe_p204_uk.csv,2009,2009,2002,1921,1921,1921,1900,1900,1921,1.3484,51.957,89.0,75-100,21,68.0,60-90
91,fernandina_beach_240a_usa.csv,2009,2004,2004,2004,2004,2003,1900,1900,1941,-81.467,30.672,69.0,50-75,51,18.0,0-30
92,ferrol_ferrol_spain.csv,1957,1956,1921,1921,1900,1900,1900,1900,1921,-8.326,43.463,89.0,75-100,8,81.0,60-90
93,fishguard_p055_uk.csv,2009,2009,1973,1921,1921,1900,1900,1900,1921,-4.9833,52.014,89.0,75-100,45,44.0,30-60
94,"flores,santa_cruz_210a_portugal.csv",2000,1980,1945,1945,1944,1900,1900,1900,1944,-31.168,39.378,66.0,50-75,22,44.0,30-60
95,fortmyers_usa.csv,2003,1941,1941,1939,1939,1900,1900,1900,1939,-81.871,26.648,71.0,50-75,17,54.0,30-60
96,fortpulaski_usa.csv,2008,2003,1964,1964,1946,1906,1900,1900,1946,-80.902,32.033,64.0,50-75,61,3.0,0-30
97,"fort_pulaski,ga_752a_usa.csv",2008,2005,2005,2003,2003,1964,1900,1900,1946,-80.902,32.033,64.0,50-75,72,-8.0,(-15)-(0)
98,freeport_usa.csv,2007,1998,1998,1998,1998,1900,1900,1900,1940,-95.308,28.948,70.0,50-75,52,18.0,0-30
99,fremantle_012_australia.csv,2009,2009,1994,1900,1900,1900,1900,1900,1953,115.75,-32.053,57.0,50-75,96,-39.0,(-60)-(-30)
100,fridayharbor_ocean.labs.__usa.csv,2009,2009,2009,2009,1944,1900,1900,1900,1944,-123.01,48.547,66.0,50-75,20,46.0,30-60
101,fuerteventura_fuerteventura_spain.csv,2009,1981,1941,1900,1900,1900,1900,1900,1941,-13.85,28.5,69.0,50-75,11,58.0,30-60
102,fukaura_japan.csv,2008,1945,1945,1945,1944,1944,1944,1900,1944,139.93,40.65,66.0,50-75,41,25.0,0-30
103,funchal_b_218b_portugal.csv,2009,2009,2009,1900,1900,1900,1900,1900,1900,-16.907,32.64,110.0,100-125,25,85.0,60-90
104,"galveston,pier_21_775a_usa.csv",2008,2008,2007,1961,1961,1900,1900,1900,1939,-94.79,29.287,71.0,50-75,102,-31.0,(-60)-(-30)
105,geelong_013_australia.csv,1999,1976,1900,1900,1900,1900,1900,1900,1950,144.36,-38.147,60.0,50-75,29,31.0,30-60
106,geraldton_014_australia.csv,2009,1995,1995,1900,1900,1900,1900,1900,1960,114.61,-28.773,50.0,0-50,39,11.0,0-30
107,gijon_gijon_spain.csv,1977,1957,1921,1900,1900,1900,1900,1900,1900,-5.698,43.558,110.0,100-125,18,92.0,90-120
108,gisborne_b_078b_new_zealand.csv,2007,1978,1948,1948,1948,1900,1900,1900,1937,178.03,-38.683,73.0,50-75,7,66.0,60-90
109,gladstone_p234_uk.csv,2009,2009,2009,1921,1921,1900,1900,1900,1900,-3.018,53.45,110.0,100-125,18,92.0,90-120
110,gloucesterpoint_usa.csv,1964,1954,1941,1941,1900,1900,1900,1900,1941,-76.5,37.247,69.0,50-75,8,61.0,60-90
111,goteborgtorshamnen_005_sweden.csv,2008,1971,1900,1900,1900,1900,1900,1900,1900,11.8,57.683,110.0,100-125,48,62.0,60-90
112,grandisle_usa.csv,2003,1939,1939,1939,1900,1900,1900,1900,1939,-89.957,29.263,71.0,50-75,34,37.0,30-60
113,hachinohe_japan.csv,1988,1953,1944,1944,1944,1944,1900,1900,1944,141.53,40.533,66.0,50-75,50,16.0,0-30
114,hakodate_japan.csv,2008,1978,1974,1974,1945,1944,1900,1900,1944,140.73,41.783,66.0,50-75,51,15.0,0-30
115,hamada_japan.csv,1964,1957,1957,1957,1953,1944,1944,1944,1944,132.07,34.9,66.0,50-75,30,36.0,30-60
116,hanasaki_japan.csv,2009,1988,1972,1944,1944,1900,1900,1900,1944,145.57,43.283,66.0,50-75,53,13.0,0-30
117,harwich_p022_uk.csv,2009,1974,1973,1973,1973,1900,1900,1900,1973,1.2845,51.947,37.0,0-50,21,16.0,0-30
118,heimsjoe_001_norway.csv,2009,1942,1900,1900,1900,1900,1900,1900,1900,9.1014,63.425,110.0,100-125,45,65.0,60-90
119,heysham_p050_uk.csv,2009,1996,1973,1921,1900,1900,1900,1900,1921,-2.9204,54.032,89.0,75-100,35,54.0,30-60
120,hillarys_132a_australia.csv,2009,2009,1994,1994,1994,1994,1900,1900,1962,115.74,-31.825,48.0,0-50,22,26.0,0-30
121,hobart_016_australia.csv,2001,1983,1983,1973,1900,1900,1900,1900,discard,147.33,-42.883,,,30,,nan
122,hoekvanholla_hvh_nl.csv,2009,2009,1921,1900,1900,1900,1900,1900,1921,4.12,51.977,89.0,75-100,45,44.0,30-60
123,holyhead_p054_uk.csv,2009,1980,1973,1973,1900,1900,1900,1900,1961,-4.6312,53.308,49.0,0-50,34,15.0,0-30
124,hong_kong_b_329b_china.csv,2009,2009,2009,1942,1942,1942,1942,1900,1942,114.2,22.3,68.0,50-75,51,17.0,0-30
125,honningsvaag_002_norway.csv,2008,1997,1993,1993,1900,1900,1900,1900,1900,25.973,70.98,110.0,100-125,41,69.0,60-90
126,hornbaek_838a_denmark.csv,2008,2008,2008,2008,1900,1900,1900,1900,1900,12.467,56.1,110.0,100-125,115,-5.0,(-15)-(0)
127,"horta,azores_212a_portugal.csv",2000,1944,1944,1900,1900,1900,1900,1900,1900,-28.622,38.533,110.0,100-125,2,108.0,90-120
128,huelva_huelva_spain.csv,2009,1952,1952,1952,1900,1900,1900,1900,1900,-6.834,37.132,110.0,100-125,18,92.0,90-120
129,"humboldt_bay,_ca_576a_usa.csv",2009,2009,1944,1944,1900,1900,1900,1900,1939,-124.22,40.767,71.0,50-75,20,51.0,30-60
130,ibiza_ibiza_spain.csv,1982,1900,1900,1900,1900,1900,1900,1900,1900,1.4497,38.911,110.0,100-125,12,98.0,90-120
131,ilfracombe_p061_uk.csv,2009,1973,1973,1973,1973,1921,1900,1900,1921,-4.1109,51.211,89.0,75-100,26,63.0,60-90
132,"ilulissat,greenland_001.csv",2000,2000,2000,2000,1900,1900,1900,1900,1939,-51.1,69.217,71.0,50-75,3,68.0,60-90
133,imbituba_718a_brazil.csv,2008,2008,2007,1946,1941,1941,1941,1900,discard,-48.4,-28.133,,,5,,nan
134,imperia_imperia_italy.csv,2008,1988,1900,1900,1900,1900,1900,1900,1900,8.0188,43.878,110.0,100-125,13,97.0,90-120
135,jackson_403a_new_zealand.csv,2007,1980,1980,1980,1900,1900,1900,1900,1900,168.62,-43.983,110.0,100-125,14,96.0,90-120
136,juneau_usa.csv,2009,1976,1957,1947,1947,1900,1900,1900,1947,-134.41,58.298,63.0,50-75,35,28.0,0-30
137,kanmen_a_632a_china.csv,2009,2009,2009,1943,1943,1943,1943,1900,1943,121.28,28.088,67.0,50-75,24,43.0,30-60
138,kerguelen_180a_france.csv,2009,2007,2006,2006,1966,1947,1900,1900,discard,70.22,-49.345,,,19,,nan
139,"ketchikan,ak_571a_usa.csv",2009,1976,1944,1944,1944,1944,1900,1900,1944,-131.63,55.333,66.0,50-75,71,-5.0,(-15)-(0)
140,kingedwardpoint_uk.csv,2008,2005,2002,1989,1989,1989,1900,1900,discard,-36.497,-54.283,,,5,,nan
141,kinlochbervi_p918_uk.csv,2009,1987,1900,1900,1900,1900,1900,1900,1900,-5.0504,58.457,110.0,100-125,20,90.0,60-90
142,kiptopekebeach_usa.csv,1948,1945,1942,1900,1900,1900,1900,1900,1942,-75.988,37.165,68.0,50-75,19,49.0,30-60
143,knysna_186a_south_africa.csv,2009,2007,1967,1967,1967,1953,1942,1942,1967,23.033,-32.033,43.0,0-50,27,16.0,0-30
144,"kodiak_isl.,alaska_039a_usa.csv",1982,1944,1943,1943,1943,1900,1900,1900,1943,-152.51,57.732,67.0,50-75,33,34.0,30-60
145,kungsvik_009_sweden.csv,2008,1900,1900,1900,1900,1900,1900,1900,1900,11.127,58.997,110.0,100-125,42,68.0,60-90
146,kushiro_japan.csv,2002,1972,1972,1972,1972,1900,1900,1900,1940,144.38,42.967,70.0,50-75,52,18.0,0-30
147,l._cornwallis_i._705a_canada.csv,1994,1947,1947,1947,1946,1900,1900,1900,1946,-96.95,75.383,64.0,50-75,7,57.0,30-60
148,laohutan_a_631a_china.csv,2009,1974,1974,1954,1954,1954,1900,1900,1954,121.68,38.867,56.0,50-75,8,48.0,30-60
149,las_palmas_laspalmas_spain.csv,2009,2009,2009,2009,1941,1941,1900,1900,1941,-15.412,28.141,69.0,50-75,22,47.0,30-60
150,la_coruna_830a_spain.csv,1957,1956,1921,1921,1900,1900,1900,1900,1900,-8.4,43.367,110.0,100-125,68,42.0,30-60
151,la_rochelle_la_palli_.csv,2002,1956,1921,1916,1916,1916,1900,1900,1916,-1.2206,46.158,94.0,75-100,26,68.0,60-90
152,leith_p034_uk.csv,2009,1989,1921,1921,1900,1900,1900,1900,1921,-3.1817,55.99,89.0,75-100,23,66.0,60-90
153,lerwick_p041_uk.csv,2009,1991,1900,1900,1900,1900,1900,1900,1900,-1.1333,60.15,110.0,100-125,48,62.0,60-90
154,les_sables_d_olonne_.csv,2007,1960,1957,1921,1921,1916,1900,1900,1921,-1.7935,46.497,89.0,75-100,23,66.0,60-90
155,"lewes,de_747a_usa.csv",1992,1941,1931,1900,1900,1900,1900,1900,1940,-75.12,38.782,70.0,50-75,54,16.0,0-30
156,le_conquet_.csv,2007,1973,1973,1973,1921,1921,1900,1900,1921,-4.7807,48.359,89.0,75-100,40,49.0,30-60
157,le_crouesty_.csv,1998,1973,1900,1900,1900,1900,1900,1900,1900,-2.8952,47.543,110.0,100-125,8,102.0,90-120
158,le_havre_.csv,2009,1973,1921,1916,1900,1900,1900,1900,1916,0.106,49.482,94.0,75-100,42,52.0,30-60
159,lowestoft_p024_uk.csv,1996,1973,1921,1921,1900,1900,1900,1900,1921,1.7508,52.473,89.0,75-100,51,38.0,30-60
