,tg,lon,lat,e95_1900,e99_1900,e95_1950,e99_1950,t95_1875,t99_1875,t95_1900,t99_1900,t95_1950,t99_1950
0,aberdeen_p038_uk,-2.0745,57.143,0.589926185,0.851950775,0.556713118,,0.540679983,1.01919686,0.534142656,1.041550167,0.871231058,1.246101033
1,annapolis_navalacademy__usa,-76.482,38.983,0.289621502,0.581648912,,,0.214726666,0.321715679,0.302282728,0.423432293,,
2,barseback_001_sweden,12.903,55.756,0.779370102,1.153864467,0.592899725,1.158130631,,,0.233693577,0.35143201,0.429561698,
3,cadiz_cadi_spain,-6.2833,36.533,0.125491002,,,,,,,,,
4,cape_ferguson_343a_australia,147.06,-19.277,0.323253542,0.390148819,0.324162509,,,,,,,
5,cuxhaven_germany,8.7167,53.867,1.903587965,4.416129441,,2.90569237,,,1.154151121,2.181241974,2.260768298,
6,davis_173a_australia,77.967,-68.45,0.200040697,0.277508442,0.451308372,,,,,,,
7,delfzijl_del_nl,6.9331,53.326,1.768498039,3.246728437,1.780031254,2.907258717,0.906894562,1.30964342,0.741626157,1.220216454,,
8,donges_,-2.0883,47.306,0.314261499,0.624652739,,,,,,,,
9,esbjerg_130121_denmark,8.4333,55.467,1.170020402,2.03667432,,,0.67078309,1.515516962,0.663549153,1.742652915,,
10,funchal_b_218b_portugal,-16.907,32.64,0.196405322,0.393714902,,,,,,0.269397211,,
11,gladstone_p234_uk,-3.018,53.45,0.758895587,1.143559131,0.864810184,1.208078699,,,0.553182682,1.523152995,,1.860525804
12,goteborgtorshamnen_005_sweden,11.8,57.683,0.887225204,1.697951194,,1.595225147,0.17884552,0.405583615,,0.458633548,,0.71720534
13,heimsjoe_001_norway,9.1014,63.425,0.300092294,,,,,,0.407946984,0.731335248,0.593427295,1.06770827
14,honningsvaag_002_norway,25.973,70.98,0.379745267,0.627969778,0.437208224,0.879361947,,,,,0.516906367,0.840671213
15,hornbaek_838a_denmark,12.467,56.1,0.810388784,1.242297553,0.954587243,1.181308293,,,0.297486076,0.86191292,,
16,"horta,azores_212a_portugal",-28.622,38.533,0.17220296,0.312509975,,,,,0.124504729,,,
17,kinlochbervi_p918_uk,-5.0504,58.457,0.449655153,0.824084187,,0.8822805,0.594851779,0.859693796,0.58271126,0.747099185,0.722904497,1.366349331
18,kungsvik_009_sweden,11.127,58.997,0.855909033,1.411358358,0.786984245,1.238176365,,,0.289824829,0.4573665,0.659038361,
19,lerwick_p041_uk,-1.1333,60.15,0.394082738,0.44357777,0.59532917,,0.252001712,0.437152334,0.222379478,0.386066897,0.561348447,0.669018747
20,maaloey_003_norway,5.1133,61.934,0.480420268,0.840490001,,,,,0.698890487,1.081917203,0.737996022,0.662065039
21,marseille_france,5.35,43.3,0.158993791,0.246922898,,,,,,,,
22,morayfirth_p207_uk,-4.0022,57.599,0.597966094,0.808023179,,,0.48065366,0.862141589,0.38942663,0.922259631,0.733884928,0.982594828
23,nice_france,7.2853,43.696,0.134561741,0.191664614,,,,,,,,
24,northshields_p032_uk,-1.4398,55.007,0.670555405,1.00502898,0.634996557,1.275326013,0.3896782,0.664566684,0.378510542,0.672671703,0.47120246,
25,ortona_ortona_italy,14.415,42.356,0.176638521,0.515400927,,,,,,,-0.215928811,-0.295687155
26,oslo_004_norway,10.734,59.909,0.806769352,1.444868655,0.897920131,1.734005167,,,0.276663576,0.581428278,,0.881174563
27,"portland,s.aus._129a_australia",141.6,-38.333,0.236773709,0.409359568,,0.576715708,,,,,0.351387581,1.230582631
28,portlonsdale_017_australia,138.5,-35.099,0.269535735,0.424155179,,,,,,,,
29,portpirie_024_australia,138.01,-33.177,0.591074948,1.045076517,,,,,,,,1.11014464
30,port_camargue_france,4.1264,43.52,0.124456656,0.091977426,0.30581078,,0.111613381,0.126851046,0.106829214,0.126485929,,
31,port_stanvac_100a_australia,138.47,-35.108,0.45158525,0.699894169,,,,,,,,
32,port_vendres_france,3.1075,42.52,0.12889306,0.189939341,,,,,,,,
33,ravenna_ravenna_italy,12.283,44.492,0.339678495,0.5825973,,,,,,,,
34,ringhals_016_sweden,12.113,57.25,0.748312168,1.328813786,0.862242168,1.508715632,,,0.167317757,0.334318158,,0.860238166
35,roervik_005_norway,11.23,64.859,0.206659561,0.378973159,,,,,,,0.592527715,
36,saint_malo_,-2.0281,48.641,0.281477976,0.707501414,0.48315458,,0.226979236,0.405657897,,,,
37,smogen_020_sweden,11.218,58.354,0.580977932,1.196912206,,1.536717552,,,0.312865754,0.736242721,0.494049443,1.231004883
38,solomonsisland_biol.lab.__usa,-76.452,38.317,0.267462267,0.401437966,,,0.121266464,,0.18895212,0.267577591,,
39,stenungsund_022_sweden,11.832,58.093,0.92628555,1.572742473,0.774471599,1.401046058,,,0.2720324,0.61066709,0.590448217,1.236845879
40,tenerife_tenerife_spain,-16.24,28.478,0.143902238,0.164370103,0.213833075,0.363435563,,,,0.097773248,,
41,thevenard_026_australia,133.65,-32.146,0.303281368,0.575472854,,,,,,,0.484546459,0.918228461
42,tobermory_p223_uk,-6.0642,56.623,0.643402664,1.172383148,0.570790289,,,,0.340200863,0.50775342,,
43,tregde_006_norway,7.5666,58,0.345277059,0.524438392,,,0.185448327,0.363625401,0.162173593,0.355535832,,0.654854935
44,trieste_270061_italy,13.75,45.65,0.147262875,0.349195674,,,,,,,,
45,ullapool_p043_uk,-5.1579,57.895,0.830046418,0.910670543,1.348343263,1.693616023,,,0.583152851,1.017402629,1.034032656,1.88196591
46,varberg1_024_sweden,12.217,57.1,0.697319787,1.366138625,0.872478205,1.762018816,,,0.136679032,0.286214597,0.437396285,0.637282517
47,"vardo,norway_001",31.1,70.333,0.298664617,0.407168323,,,,,,,0.567119538,1.153018512
48,venezia_punta_salute_italy,12.426,45.419,0.178309261,0.405318245,,,,,-0.181021974,,-0.349086334,
49,victorharbor_027_australia,138.62,-35.553,0.282331933,,,,,,,,,
50,viken_025_sweden,12.579,56.142,0.891200009,1.431159074,0.935867707,1.312549197,,,,0.71541296,,1.589529865
51,wakkanai_japan,141.68,45.4,0.446851372,0.350672813,,,,,,,0.228305585,0.589746973
52,whitby_p174_uk,-0.61417,54.49,1.02325211,1.466532862,0.838610829,,0.823307493,1.476434271,0.771489719,1.345204834,1.188417385,1.889128197
53,wick_p035_uk,-3.0863,58.441,0.460840953,0.58189907,0.488183817,0.856303568,0.443664348,0.841428102,0.393585681,0.88835187,0.714261516,1.404643233
54,workington_p217_uk,-3.5676,54.651,0.98987208,1.41273646,0.920176393,1.210999558,0.516510834,0.793918806,,0.660247355,,
55,abashiri_japan,144.28,44.017,,-0.297916633,,,,,,,0.265967744,
56,alcudia_alcudia_spain,3.1392,39.835,,0.084576576,,,,,,,,
57,ancona_ancona_italy,13.506,43.625,,0.229952806,,,,,,,-0.292597956,
58,bakar_bakar_I_croatia,14.533,45.3,,0.465968561,,,,,-0.130514462,,-0.298518189,-0.573074809
59,barcelona_barcelona_spain,2.163,41.342,,0.11217672,,,,0.155651419,,,,
60,bayonne_boucau_,-1.5148,43.527,,0.303762462,,,,,,,,
61,gijon_gijon_spain,-5.698,43.558,,0.355764315,,,,,,,,
62,huelva_huelva_spain,-6.834,37.132,,0.401224472,,,,,,,,
63,mahon_mahon_spain,4.2706,39.893,,0.077499584,,,,,0.096766522,,0.189665531,
64,napoli_napoli_italy,14.269,40.841,,0.185406593,-0.277035095,-0.427618061,,,,,,
65,saint_nazaire_,-2.2016,47.267,,0.58054599,,,,,,,,
66,sete_france,3.6991,43.398,,0.435143193,,,,,,,,
67,bangor_p662_uk,-5.6695,54.665,,,0.802685367,0.835965188,,,,,0.579124519,1.075640712
68,bonanza_bonanza_spain,-6.34,36.8,,,-0.352790474,-0.699177702,,,,,,-0.790443499
69,boulogne_sur_mer_,1.5777,50.727,,,0.785396288,,0.329540358,0.809763752,,0.703644637,,1.278777179
70,cagliari_cagliari_italy,9.1143,39.21,,,-0.158852406,-0.452674949,,,,,,
71,calais_,1.8677,50.969,,,0.913118752,,0.367206896,0.725263053,,0.594057423,0.515429084,
72,carnarvon_008_australia,113.66,-24.884,,,0.314899099,0.728727247,,,,,,
73,casey_130a_australia,110.53,-66.283,,,0.391454293,0.573909307,,,,,,
74,"clearwater_bch,fl_773a_usa",-82.832,27.977,,,0.275186119,0.940125154,,,,,,
75,"dauphin_island,_al_763a_usa",-88.075,30.25,,,0.355198966,,-0.261053114,-0.985779589,,,0.19354938,
76,"davis,australia_001",78.5,-68,,,0.420342027,0.708517649,,,,,,
77,dover_p012_uk,1.3181,51.117,,,0.700128008,1.452927273,,,,0.429947411,,0.561622365
78,dumont_d_urville_189a_france,140.01,-66.662,,,0.252326425,,,,,,,
79,felixstowe_p204_uk,1.3484,51.957,,,1.079450814,,,,,0.494942826,0.66370141,
80,fortmyers_usa,-81.871,26.648,,,0.277077001,0.622960289,,,,,,
81,fuerteventura_fuerteventura_spain,-13.85,28.5,,,0.215896644,0.222305061,,,0.053720272,0.163982483,,0.272672988
82,grandisle_usa,-89.957,29.263,,,0.36831627,0.591032375,,,,,,
83,hoekvanholla_hvh_nl,4.12,51.977,,,1.066180684,1.622348261,,,0.45909235,0.930612919,,1.574018803
84,las_palmas_laspalmas_spain,-15.412,28.141,,,0.328521423,0.372220432,,,,,,
85,leith_p034_uk,-3.1817,55.99,,,0.544909584,,0.47635723,0.797998095,0.423268541,0.707112727,0.80652071,
86,le_havre_,0.106,49.482,,,0.52660078,,,,,,,
87,lowestoft_p024_uk,1.7508,52.473,,,0.737913316,,0.510052058,0.815153655,0.340910931,0.679590192,0.642803524,
88,malin_head_834a_ireland,-7.3333,55.367,,,0.422995423,0.957610597,,,,,,
89,marsden_point_398a_new_zealand,174.5,-35.833,,,-0.151592461,,,,,,0.333619528,0.778247383
90,milfordhaven_p056_uk,-5.0143,51.702,,,0.384244036,,,,,,,
91,millport_p049_uk,-4.9058,55.75,,,0.898162223,2.071646892,0.627778563,1.070703888,0.495846224,0.843918613,1.196172211,0.8099474
92,mumbles_p932_uk,-3.9754,51.57,,,0.400276226,0.746571712,,,,,,
93,newlondon_usa,-72.09,41.361,,,0.319374944,,0.097021823,0.229430315,0.148958497,,,
94,ofunato_japan,141.72,39.067,,,-0.158983815,,,,,,,0.204782429
95,panama_city_beach_761a_usa,-85.88,30.213,,,0.514209742,0.624331474,,,,0.342717875,,
96,"pensacola,fl_762a_usa",-87.213,30.403,,,0.40370426,0.940884221,,,,,,-0.518901927
97,portellen_p202_uk,-6.1901,55.627,,,0.650341208,1.179958108,,,0.619669556,1.257931652,0.966871499,1.759669149
98,porterin_p919_uk,-4.7681,54.085,,,0.844369277,,0.489208051,1.144300766,0.434289721,1.14365252,0.603818519,1.269257303
99,portpatrick_p063_uk,-5.12,54.843,,,0.651866991,,,,0.212140425,0.62238093,,0.812865049
100,portrush_p935_uk,-6.6568,55.207,,,0.856852863,,,,0.441667803,0.76377252,0.839534647,
101,seldovia_usa,-151.72,59.44,,,0.578741578,0.845216334,,,,,0.585397943,0.900333979
102,"sitka,ak_559a_usa",-135.34,57.052,,,0.392299941,0.828441445,,,,,,
103,st.paulisland_001,77.583,-38.717,,,-0.286341374,,,,,,,
104,st.petersburg_usa,-82.627,27.761,,,0.444089212,1.213479939,-0.14021139,,,,,
105,"st._petersburg,_fl_759a_usa",-82.627,27.76,,,0.428781653,1.318829566,-0.135535716,,,,-0.224944817,
106,williamstown_028_australia,144.9,-37.857,,,-0.620706169,-0.54563894,,,,,,
107,andenes_001,16.15,69.317,,,,0.992916923,,,,,,
108,bilbao_bilbao_spain,-3.05,43.357,,,,-0.666950365,,,,,,
109,"corpus_cristi,tx_770a_usa",-97.217,27.58,,,,0.451373866,,,,,,
110,dalian_a_630a_china,121.66,38.925,,,,-0.440069048,,,,,,
111,l._cornwallis_i._705a_canada,-96.95,75.383,,,,0.803649163,,,,,,0.517286398
112,lusi_a_633a_china,121.62,32.133,,,,1.39166896,,,,,,
113,lyttelton_667a_new_zealand,172.72,-43.6,,,,0.843780655,,,,,0.525917368,0.69766453
114,mawson_177a_australia,62.883,-67.6,,,,0.769822721,,,,,,
115,"neah_bay,wa_558a_usa",-124.62,48.368,,,,0.58378382,,,,,,
116,"nome,ak_595a_usa",-165.43,64.5,,,,2.514762855,,,,,0.523675881,
117,palma_de_mallorca_palmademallorca_spain,2.6375,39.56,,,,-0.464177613,,,,,,
118,portsmouth_p008_uk,-1.1118,50.803,,,,0.685887693,0.12926022,0.323522324,,,,
119,port_tudy_,-3.4459,47.644,,,,-0.549308766,,,,,,
120,"sabine_pass_n,tx_766a_usa",-93.87,29.73,,,,1.052750635,,,,,,
121,seattle_usa,-122.34,47.603,,,,-0.548394623,,,,,,
122,skagway_usa,-135.33,59.45,,,,0.553283939,,,,,,
123,sthelier_p074_uk,-2.1167,49.183,,,,0.643681265,,,,,,
124,stmarys_p231_uk,-6.3164,49.918,,,,-0.401730868,,,,,,
125,stornoway_p042_uk,-6.3882,58.208,,,,0.844561372,0.430148183,0.746031519,0.397475195,0.838524268,0.545101938,1.277341363
126,timaru_665a_new_zealand,171.25,-44.383,,,,0.440131431,,,,,0.571701641,0.992154065
127,unalaska_usa,-166.54,53.88,,,,0.524306639,,,,,0.236369701,0.306393541
128,"valdez,ak_562a_usa",-146.36,61.125,,,,0.460310457,,,,,,
129,villagarcia_villagarcia_spain,-8.77,42.601,,,,-0.96200723,,,,,,
130,apalachicola_usa,-84.982,29.727,,,,,0.122547725,,0.14427837,,,1.039764797
131,atlantic_city_264a_usa,-74.418,39.355,,,,,0.23139999,0.251973371,0.292490246,0.376197567,,
132,baltimore_usa,-76.578,39.267,,,,,0.177227211,0.302252132,0.275927238,0.492178412,,
133,barmouth_p923_uk,-4.0452,52.719,,,,,0.439777396,0.889578803,0.329770424,0.855095278,0.55796325,
134,"boston,ma_741a_usa",-71.052,42.355,,,,,0.20233561,0.467868458,0.260816525,0.644272983,,0.835053951
135,bournemouth_p988_uk,-1.8749,50.714,,,,,0.138870174,0.330407481,,,0.22808256,
136,cambridgeii_usa,-76.068,38.573,,,,,0.176059442,0.258744751,0.278077742,0.511885467,,
137,denhelder_hel_nl,4.7464,52.965,,,,,0.669204474,1.326296229,0.586219864,1.23292919,,
138,dieppe_,1.0845,49.929,,,,,0.187810394,0.49292989,,,,
139,fernandina_beach_240a_usa,-81.467,30.672,,,,,-0.263722697,-0.370449418,,,,
140,"flores,santa_cruz_210a_portugal",-31.168,39.378,,,,,0.109361072,,,,-0.36690582,
141,formentera_formentera_spain,1.4189,38.735,,,,,-0.097646891,,-0.083295735,,,
142,fortpulaski_usa,-80.902,32.033,,,,,0.213795431,0.408947672,0.174071596,0.369632132,,
143,"montauk,ny_279a_usa",-71.96,41.048,,,,,0.251541565,0.387128009,0.331852125,0.581195645,,
144,nantucketisland_usa,-70.097,41.285,,,,,0.23628464,0.276234477,0.310589399,0.490293975,,
145,newhaven_p011_uk,0.05703,50.782,,,,,0.209680524,0.452129238,0.175007414,,,
146,"newport,ri_253a_usa",-71.327,41.505,,,,,0.222648238,0.345624332,0.310266547,0.489826735,,
147,newport_usa,-71.327,41.505,,,,,0.239306441,0.39614031,0.264079712,0.426078112,,
148,newyork_thebattery__usa,-74.014,40.701,,,,,0.199380032,0.423300921,0.275245306,0.410862111,,
149,"new_london,ct_744a_usa",-72.087,41.355,,,,,0.201922691,0.310234419,0.251337754,,,
150,"new_york,ny_745a_usa",-74.015,40.7,,,,,0.209264999,0.307929751,0.304718649,,,
151,reedypoint_usa,-75.573,39.558,,,,,0.151583792,0.418822295,0.204539465,0.470467711,,
152,sagunto_sagunto_spain,-0.206,39.634,,,,,0.051797396,,,,,
153,sandyhook_usa,-74.009,40.467,,,,,0.184947893,0.377721863,0.216749009,0.518749825,,
154,"st._augustine,fl_262a_usa",-81.262,29.857,,,,,-0.203684835,-0.368683833,,,,
155,willetspoint_usa,-73.782,40.793,,,,,0.254291729,0.580062376,0.353229748,0.753323236,,
156,"woods_hole,ma_742a_usa",-70.672,41.523,,,,,0.256504037,0.482342481,0.341235585,0.654823191,,
157,gloucesterpoint_usa,-76.5,37.247,,,,,,0.241341757,,0.349007383,,
158,bridgeport_usa,-73.182,41.173,,,,,,,0.129977453,0.26029169,,
159,chesapeake_bbt_749a_usa,-76.113,36.967,,,,,,,0.147550043,0.625358069,-0.323110508,
160,devonport_p002_uk,-4.1852,50.368,,,,,,,-0.104105368,,,
161,"duck_pier,nc_260a_usa",-75.74,36.183,,,,,,,0.114853979,0.315912522,,
162,dunkerque_,2.3667,51.048,,,,,,,0.452274873,0.929203132,,
163,"fort_pulaski,ga_752a_usa",-80.902,32.033,,,,,,,0.237924681,0.457018361,,
164,fos_sur_mer_france,4.8929,43.405,,,,,,,0.060815632,0.06328336,,
165,heysham_p050_uk,-2.9204,54.032,,,,,,,0.477026494,1.155838723,0.954794019,
166,hong_kong_b_329b_china,114.2,22.3,,,,,,,0.216950304,0.58338017,,
167,kiptopekebeach_usa,-75.988,37.165,,,,,,,0.167346753,0.348091138,,
168,monaco_port_hercule_france,7.4215,43.729,,,,,,,-0.087688606,,,
169,palermo_palermo_italy,13.371,38.121,,,,,,,0.124397486,0.42231356,,
170,portland_maine__usa,-70.247,43.657,,,,,,,0.270388166,0.522818202,,
171,"sewellspoint,hamptonroads_usa",-76.33,36.947,,,,,,,0.234180001,0.400541824,,
172,xiamen_376a_china,118.07,24.45,,,,,,,0.611159311,0.988031304,,
173,zhapo_a_635a_china,111.83,21.583,,,,,,,0.336606271,0.59091482,,
174,angra_heroismo_b_215b_portugal,-27.24,38.65,,,,,,,,0.147213784,-0.231564094,
175,centuri_france,9.3498,42.966,,,,,,,,0.124573641,,
176,holyhead_p054_uk,-4.6312,53.308,,,,,,,,0.414285754,,
177,"lewes,de_747a_usa",-75.12,38.782,,,,,,,,0.297139443,,
178,shanwei_641a_china,115.35,22.75,,,,,,,,0.613782077,,
179,bluff_072a_new_zealand,168.35,-46.6,,,,,,,,,0.956415577,1.623592624
180,burnie_344a_australia,145.91,-41.5,,,,,,,,,0.30146892,0.677903562
181,chatham_079a_new_zealand,-176.56,-43.947,,,,,,,,,0.458596878,0.95819074
182,"dutch_harbor_b,ak_041b_usa",-166.54,53.88,,,,,,,,,0.284073366,0.451209485
183,freeport_usa,-95.308,28.948,,,,,,,,,-0.280100487,
184,fukaura_japan,139.93,40.65,,,,,,,,,0.2735627,0.365974334
185,gandia_gandia_spain,-0.152,38.995,,,,,,,,,-0.127219823,
186,kushiro_japan,144.38,42.967,,,,,,,,,0.214703493,
187,maizuru_japan,135.38,35.467,,,,,,,,,0.174822834,
188,nelson_077a_new_zealand,173.27,-41.267,,,,,,,,,0.196640085,0.310295196
189,ponta_delgada_211a_portugal,-25.672,37.735,,,,,,,,,-0.196814127,-0.306670796
190,"seward_c,ak_560c_usa",-149.43,60.12,,,,,,,,,-0.582554032,-1.059582952
191,tauranga_073a_new_zealand,176.18,-37.65,,,,,,,,,0.152798838,0.581495323
192,"willapa_bay,_wa_564a_usa",-123.97,46.708,,,,,,,,,-0.379748944,
193,cherbourg_,-1.6355,49.651,,,,,,,,,,0.580352878
194,coruna_coru_spain,-8.4,43.367,,,,,,,,,,-0.695262056
195,geelong_013_australia,144.36,-38.147,,,,,,,,,,0.499601213
196,gisborne_b_078b_new_zealand,178.03,-38.683,,,,,,,,,,0.545763123
197,ibiza_ibiza_spain,1.4497,38.911,,,,,,,,,,-0.314121889
198,la_coruna_830a_spain,-8.4,43.367,,,,,,,,,,-0.613364298
199,les_sables_d_olonne_,-1.7935,46.497,,,,,,,,,,-0.791982193
200,miyako_japan,141.98,39.65,,,,,,,,,,0.297275524
201,napier_668a_new_zealand,176.92,-39.483,,,,,,,,,,0.48067917
202,port_bloc_,-1.0616,45.569,,,,,,,,,,-0.625535963
203,saint_jean_de_luz_so_,-1.6816,43.395,,,,,,,,,,-0.386700404
204,vigo_ieo_spain,-8.7333,42.233,,,,,,,,,,-0.662421013
205,wellington_071a_new_zealand,174.78,-41.283,,,,,,,,,,0.247582479
