,tg,lon_x,lat_x,e99_1930,e99_1930_sigf,e99_1950,e99_1950_sigf,t99_1930,t99_1930_sigf,t99_1950,t99_1950_sigf
0,abashiri_japan,144.28,44.017,-0.201594105,FALSE,0.289917273,FALSE,0.289940385,TRUE,0.172658599,FALSE
1,aberdeen_p038_uk,-2.0745,57.143,0.938043635,TRUE,0.742628519,FALSE,1.144014084,TRUE,1.246101033,TRUE
2,ajaccio_aspretto_france,8.7628,41.923,-0.062582145,FALSE,-0.297607559,FALSE,0.012149695,FALSE,-0.137797851,FALSE
3,alcudia_alcudia_spain,3.1392,39.835,0.110381382,TRUE,0.102590332,FALSE,-0.070458489,FALSE,-0.171869949,FALSE
4,ancona_ancona_italy,13.506,43.625,0.003871654,FALSE,-0.413786494,FALSE,0.049345571,FALSE,-0.318890754,FALSE
5,andenes_001,16.15,69.317,0.210562735,FALSE,0.992916923,TRUE,0.858963646,TRUE,1.085457952,FALSE
6,angra_heroismo_b_215b_portugal,-27.24,38.65,-0.140961934,FALSE,-0.299848901,FALSE,-0.017998071,FALSE,-0.230883185,FALSE
7,annapolis_navalacademy__usa,-76.482,38.983,0.240751674,FALSE,0.187842654,FALSE,-0.023155197,FALSE,-0.16908289,FALSE
8,arcachon_eyrac_,-1.1636,44.665,0.449842644,FALSE,-0.144699899,FALSE,0.071661592,FALSE,-0.387755543,FALSE
9,auckland_070a_new_zealand,174.77,-36.85,0.394599229,TRUE,0.042431448,FALSE,,,0.411448804,FALSE
10,bakar_bakar_I_croatia,14.533,45.3,0.448084791,FALSE,-0.087363301,FALSE,-0.320518784,TRUE,-0.573074809,TRUE
11,barcelona_barcelona_spain,2.163,41.342,0.026525237,FALSE,-0.120519413,FALSE,0.045485795,FALSE,0.041502335,FALSE
12,barmouth_p923_uk,-4.0452,52.719,0.913086145,TRUE,0.477135342,FALSE,0.687693088,FALSE,1.094898855,FALSE
13,barseback_001_sweden,12.903,55.756,1.297967419,TRUE,1.158130631,TRUE,0.505245606,TRUE,0.660375486,FALSE
14,bayonne_boucau_,-1.5148,43.527,0.123931345,FALSE,-0.419733347,FALSE,-0.128007816,FALSE,-0.441044991,FALSE
15,bilbao_bilbao_spain,-3.05,43.357,0.034632382,FALSE,-0.666950365,TRUE,0.226692681,FALSE,-0.144389551,FALSE
16,bonanza_bonanza_spain,-6.34,36.8,-0.250627036,FALSE,-0.699177702,TRUE,-0.438905309,TRUE,-0.790443499,TRUE
17,boulogne_sur_mer_,1.5777,50.727,1.17319578,TRUE,0.751555303,FALSE,0.852504751,TRUE,1.278777179,TRUE
18,bournemouth_p988_uk,-1.8749,50.714,0.363408515,TRUE,0.318479047,FALSE,0.063917653,FALSE,0.242919812,FALSE
19,brest_,-4.5,48.383,0.032334152,FALSE,-0.274150667,FALSE,-0.032597863,FALSE,-0.071649416,FALSE
20,cadiz_cadi_spain,-6.2833,36.533,-0.01467255,FALSE,-0.21611059,FALSE,,,,
21,calais_,1.8677,50.969,1.391885234,TRUE,0.780012437,FALSE,0.803550417,FALSE,0.858061027,FALSE
22,cape_ferguson_343a_australia,147.06,-19.277,0.308879343,TRUE,0.253656476,FALSE,,,,
23,carloforte_carloforte_italy,8.3095,39.148,-0.047207446,FALSE,-0.31381565,FALSE,-0.07055577,FALSE,-0.092092399,FALSE
24,carnarvon_008_australia,113.66,-24.884,0.055440382,FALSE,0.728727247,TRUE,,,,
25,cascais_209a_portugal,-9.4167,38.692,-0.173141515,FALSE,-0.25930526,FALSE,-0.05404915,FALSE,-0.382560233,FALSE
26,casey_130a_australia,110.53,-66.283,0.019259668,FALSE,0.573909307,TRUE,,,,
27,castletownsend_835a_ireland,-9.1833,51.533,0.479317807,TRUE,0.196830256,FALSE,-0.077037522,FALSE,0.210787658,FALSE
28,ceuta_ceta_spain,-5.3167,35.9,-0.135785879,FALSE,-0.291589417,FALSE,-0.091239666,FALSE,-0.148100692,FALSE
29,civitavecchia_civitavecchia_italy,11.79,42.094,0.244389637,FALSE,-0.187795867,FALSE,0.1045229,FALSE,0.198644195,FALSE
30,concarneau_,-3.9072,47.874,0.507452982,TRUE,0.243939977,FALSE,0.125457593,FALSE,-0.079695702,FALSE
31,cuxhaven_germany,8.7167,53.867,4.541193639,TRUE,2.90569237,TRUE,3.006152788,TRUE,2.482553384,FALSE
32,davis_173a_australia,77.967,-68.45,0.199642669,FALSE,0.224367206,FALSE,,,,
33,delfzijl_del_nl,6.9331,53.326,3.597583673,TRUE,2.907258717,TRUE,1.51658619,FALSE,1.12957159,FALSE
34,denhelder_hel_nl,4.7464,52.965,1.724993747,TRUE,1.368055324,FALSE,1.684306391,TRUE,1.309771351,FALSE
35,devonport_p002_uk,-4.1852,50.368,0.065305222,FALSE,-0.167057579,FALSE,-0.051786158,FALSE,-0.013367781,FALSE
36,dieppe_,1.0845,49.929,0.707551051,FALSE,0.474091064,FALSE,0.212479996,FALSE,0.255894773,FALSE
37,donges_,-2.0883,47.306,1.014530392,TRUE,0.703317749,FALSE,0.08805501,FALSE,-0.517165289,FALSE
38,dover_p012_uk,1.3181,51.117,1.676184825,TRUE,1.452927273,TRUE,0.649574955,TRUE,0.561622365,TRUE
39,dumont_d_urville_189a_france,140.01,-66.662,-0.015123957,FALSE,0.460587037,FALSE,,,,
40,dunkerque_,2.3667,51.048,1.241820296,TRUE,0.578503407,FALSE,1.156425931,TRUE,1.063932295,FALSE
41,esbjerg_130121_denmark,8.4333,55.467,1.739793989,TRUE,0.451415894,FALSE,1.97460537,TRUE,1.890063445,FALSE
42,felixstowe_p204_uk,1.3484,51.957,1.428926044,TRUE,1.245492181,FALSE,0.847075148,TRUE,0.695214098,FALSE
43,ferrol_ferrol_spain,-8.326,43.463,0.031480818,FALSE,-0.430010746,FALSE,-0.094510147,FALSE,-0.497880102,FALSE
44,fishguard_p055_uk,-4.9833,52.014,0.711840912,TRUE,0.580897199,FALSE,0.018522466,FALSE,0.149912068,FALSE
45,funchal_b_218b_portugal,-16.907,32.64,0.330968534,FALSE,-0.034580371,FALSE,0.160690107,FALSE,-0.196793688,FALSE
46,gijon_gijon_spain,-5.698,43.558,0.145883476,FALSE,-0.497370485,FALSE,-0.164508801,FALSE,-0.432516908,FALSE
47,gladstone_p234_uk,-3.018,53.45,1.521093581,TRUE,1.208078699,TRUE,2.268155653,TRUE,1.860525804,TRUE
48,goteborgtorshamnen_005_sweden,11.8,57.683,1.83302077,TRUE,1.595225147,TRUE,0.50468808,TRUE,0.71720534,TRUE
49,heimsjoe_001_norway,9.1014,63.425,0.349552944,FALSE,0.657234628,FALSE,0.725066231,TRUE,1.06770827,TRUE
50,heysham_p050_uk,-2.9204,54.032,1.877620387,TRUE,0.613495722,FALSE,1.492112651,TRUE,0.820204701,FALSE
51,hoekvanholla_hvh_nl,4.12,51.977,2.366515586,TRUE,1.622348261,TRUE,1.454829782,TRUE,1.574018803,TRUE
52,honningsvaag_002_norway,25.973,70.98,0.396475454,FALSE,0.879361947,TRUE,0.525732702,FALSE,0.840671213,TRUE
53,hornbaek_838a_denmark,12.467,56.1,1.407265719,TRUE,1.181308293,TRUE,0.870446486,TRUE,0.999201099,FALSE
54,"horta,azores_212a_portugal",-28.622,38.533,0.157675473,FALSE,-0.120011238,FALSE,-0.142724565,FALSE,-0.183028173,FALSE
55,huelva_huelva_spain,-6.834,37.132,0.078541974,FALSE,-0.54039135,FALSE,-0.073763111,FALSE,-0.547044561,FALSE
56,ibiza_ibiza_spain,1.4497,38.911,0.098130136,FALSE,0.062483783,FALSE,-0.185191769,FALSE,-0.314121889,TRUE
57,ilfracombe_p061_uk,-4.1109,51.211,0.242922427,FALSE,-0.019945857,FALSE,0.098942101,FALSE,-0.077080854,FALSE
58,imperia_imperia_italy,8.0188,43.878,-0.0515701,FALSE,-0.248863853,FALSE,-0.025318059,FALSE,-0.182757015,FALSE
59,jackson_403a_new_zealand,168.62,-43.983,0.232770012,FALSE,0.296420409,FALSE,,,0.478024299,FALSE
60,kinlochbervi_p918_uk,-5.0504,58.457,1.027687118,TRUE,0.8822805,TRUE,0.909338756,TRUE,1.366349331,TRUE
61,kungsvik_009_sweden,11.127,58.997,1.293633078,TRUE,1.238176365,TRUE,0.586481037,TRUE,0.586995976,FALSE
62,la_coruna_830a_spain,-8.4,43.367,-0.059395226,FALSE,-0.398786494,FALSE,-0.268222099,FALSE,-0.613364298,TRUE
63,la_rochelle_la_palli_,-1.2206,46.158,0.127833395,FALSE,-0.168165346,FALSE,-0.170904964,FALSE,-0.234683432,FALSE
64,leith_p034_uk,-3.1817,55.99,0.872502635,TRUE,0.523345623,FALSE,0.825056021,TRUE,0.596824105,FALSE
65,lerwick_p041_uk,-1.1333,60.15,0.429530388,TRUE,0.170632241,FALSE,0.370702644,TRUE,0.669018747,TRUE
66,les_sables_d_olonne_,-1.7935,46.497,0.267752215,FALSE,-0.37960775,FALSE,-0.30975864,FALSE,-0.791982193,TRUE
67,le_conquet_,-4.7807,48.359,0.495933431,TRUE,0.250364004,FALSE,-0.010722806,FALSE,-0.268615602,FALSE
68,le_crouesty_,-2.8952,47.543,0.147145881,FALSE,-0.647921423,FALSE,0.207531197,FALSE,-0.151458225,FALSE
69,le_havre_,0.106,49.482,1.187392945,TRUE,0.75579924,FALSE,0.439197807,FALSE,0.398402881,FALSE
70,lowestoft_p024_uk,1.7508,52.473,0.943264852,TRUE,0.211842769,FALSE,0.782192052,TRUE,0.623214049,FALSE
71,maaloey_003_norway,5.1133,61.934,0.894929691,TRUE,0.901360898,FALSE,0.79213625,TRUE,0.662065039,TRUE
72,mahon_mahon_spain,4.2706,39.893,0.080364595,FALSE,-0.034131753,FALSE,0.070766079,FALSE,-0.192767899,FALSE
73,marseille_france,5.35,43.3,0.326063974,TRUE,0.075927511,FALSE,0.349387392,FALSE,0.022572254,FALSE
74,milfordhaven_p056_uk,-5.0143,51.702,0.70579879,TRUE,0.449360363,FALSE,0.508949394,FALSE,0.211395431,FALSE
75,millport_p049_uk,-4.9058,55.75,1.637863492,TRUE,2.071646892,TRUE,0.996274569,TRUE,0.8099474,TRUE
76,monaco_port_hercule_france,7.4215,43.729,0.007720645,FALSE,-0.239858419,FALSE,-0.07792913,FALSE,-0.26027378,FALSE
77,morayfirth_p207_uk,-4.0022,57.599,0.889540679,TRUE,0.565694662,FALSE,1.053240811,TRUE,0.982594828,TRUE
78,mumbles_p932_uk,-3.9754,51.57,0.941743847,TRUE,0.746571712,TRUE,0.517994693,TRUE,0.174714158,FALSE
79,napoli_napoli_italy,14.269,40.841,0.027388819,FALSE,-0.427618061,TRUE,0.015474279,FALSE,-0.257707775,FALSE
80,newhaven_p011_uk,0.05703,50.782,0.894572737,TRUE,0.466217419,FALSE,0.636673024,TRUE,0.603138089,FALSE
81,newlyn_p001_uk,-5.5417,50.102,-0.034706225,FALSE,-0.226506035,FALSE,-0.251390318,FALSE,-0.331278689,FALSE
82,nice_france,7.2853,43.696,0.213873045,FALSE,0.153404392,FALSE,-0.06443606,FALSE,-0.264815344,FALSE
83,northshields_p032_uk,-1.4398,55.007,1.330222538,TRUE,1.275326013,TRUE,0.845731919,TRUE,0.372569998,FALSE
84,ortona_ortona_italy,14.415,42.356,0.40302653,TRUE,-0.0122318,FALSE,-0.078326337,FALSE,-0.295687155,TRUE
85,oslo_004_norway,10.734,59.909,1.089109761,TRUE,1.734005167,TRUE,0.82065785,TRUE,0.881174563,TRUE
86,palma_de_mallorca_palmademallorca_spain,2.6375,39.56,-0.162687066,FALSE,-0.464177613,TRUE,-0.057693904,FALSE,-0.109704637,FALSE
87,portellen_p202_uk,-6.1901,55.627,1.270512111,TRUE,1.179958108,TRUE,1.453861758,TRUE,1.759669149,TRUE
88,porterin_p919_uk,-4.7681,54.085,1.003073036,TRUE,1.104257277,FALSE,1.316105374,TRUE,1.269257303,TRUE
89,"portland,s.aus._129a_australia",141.6,-38.333,0.790056684,TRUE,0.576715708,TRUE,,,1.230582631,TRUE
90,portlincoln_023_australia,135.86,-34.72,0.395547926,FALSE,0.033257367,FALSE,,,0.310844109,FALSE
91,portlonsdale_017_australia,138.5,-35.099,1.006460227,TRUE,0.180965176,FALSE,,,,
92,porto_torres_porto+torres_italy,8.4039,40.842,-0.057090917,FALSE,-0.371905964,FALSE,0.069367391,FALSE,0.062362248,FALSE
93,portpatrick_p063_uk,-5.12,54.843,0.924957785,TRUE,0.846765603,FALSE,0.877496409,TRUE,0.812865049,TRUE
94,portpirie_024_australia,138.01,-33.177,1.86342557,TRUE,0.644835662,FALSE,,,1.11014464,TRUE
95,portrush_p935_uk,-6.6568,55.207,1.405006644,TRUE,0.659706202,FALSE,1.288983555,TRUE,0.993094662,FALSE
96,portsmouth_p008_uk,-1.1118,50.803,0.793041274,TRUE,0.685887693,TRUE,-0.049281975,FALSE,-0.393579371,FALSE
97,port_bloc_,-1.0616,45.569,0.221185028,FALSE,-0.036606954,FALSE,-0.031200343,FALSE,-0.625535963,TRUE
98,port_camargue_france,4.1264,43.52,0.180115624,TRUE,0.102302213,FALSE,0.156972751,TRUE,0.0253067,FALSE
99,port_stanvac_100a_australia,138.47,-35.108,1.625905169,TRUE,0.17647805,FALSE,,,0.439887299,FALSE
100,port_tudy_,-3.4459,47.644,-0.087515502,FALSE,-0.549308766,TRUE,-0.063357996,FALSE,-0.094820205,FALSE
101,port_vendres_france,3.1075,42.52,0.064174725,FALSE,0.092066896,FALSE,-0.161850777,FALSE,-0.305924743,FALSE
102,ravenna_ravenna_italy,12.283,44.492,0.359645166,FALSE,-0.313718745,FALSE,0.062908156,FALSE,-0.352570114,FALSE
103,ringhals_016_sweden,12.113,57.25,1.502138273,TRUE,1.508715632,TRUE,0.516767013,TRUE,0.860238166,TRUE
104,roervik_005_norway,11.23,64.859,0.268882086,FALSE,0.543030988,FALSE,0.818530284,FALSE,1.136093539,FALSE
105,roscoff_,-3.9657,48.718,-0.090270787,FALSE,-0.487573581,FALSE,-0.095291128,FALSE,-0.038933898,FALSE
106,sagunto_sagunto_spain,-0.206,39.634,0.031793001,FALSE,-0.269520271,FALSE,-0.137741229,FALSE,-0.120746737,FALSE
107,saint_gildas_,-2.2464,47.14,0.193413045,FALSE,-0.234660844,FALSE,0.099578766,FALSE,-0.199783953,FALSE
108,saint_jean_de_luz_so_,-1.6816,43.395,-0.047656788,FALSE,-0.199313123,FALSE,-0.081905496,FALSE,-0.386700404,TRUE
109,saint_malo_,-2.0281,48.641,0.726921117,TRUE,0.409086339,FALSE,0.475068513,TRUE,0.182103915,FALSE
110,saint_nazaire_,-2.2016,47.267,0.375170239,FALSE,-0.071827072,FALSE,0.09416884,FALSE,-0.448041743,FALSE
111,santander_ieo_spain,-3.79,43.461,0.10142801,FALSE,-0.221266672,FALSE,-0.179471243,FALSE,-0.355029923,FALSE
112,sete_france,3.6991,43.398,0.345647295,FALSE,0.257518182,FALSE,-0.035883425,FALSE,-0.254631785,FALSE
113,smogen_020_sweden,11.218,58.354,1.314251541,TRUE,1.536717552,TRUE,1.098402768,TRUE,1.231004883,TRUE
114,solomonsisland_biol.lab.__usa,-76.452,38.317,0.30145199,FALSE,0.269024075,FALSE,-0.119106961,FALSE,-0.306312998,FALSE
115,stenungsund_022_sweden,11.832,58.093,1.499394979,TRUE,1.401046058,TRUE,0.994543493,TRUE,1.236845879,TRUE
116,sthelier_p074_uk,-2.1167,49.183,0.748837078,TRUE,0.643681265,TRUE,0.331390959,FALSE,-0.006994191,FALSE
117,stmarys_p231_uk,-6.3164,49.918,0.011415608,FALSE,-0.401730868,TRUE,-0.020574997,FALSE,-0.449953255,FALSE
118,stornoway_p042_uk,-6.3882,58.208,0.730993126,TRUE,0.844561372,TRUE,0.91324735,TRUE,1.277341363,TRUE
119,taranaki_076a_new_zealand,174.03,-39.05,0.535025778,TRUE,0.301407978,FALSE,,,0.430866013,FALSE
120,tauranga_073a_new_zealand,176.18,-37.65,0.360256882,TRUE,0.155480303,FALSE,,,0.581495323,TRUE
121,tenerife_tenerife_spain,-16.24,28.478,0.270551372,TRUE,0.363435563,TRUE,0.052449581,FALSE,-0.13161589,FALSE
122,thevenard_026_australia,133.65,-32.146,0.941868989,TRUE,0.596210695,FALSE,,,0.918228461,TRUE
123,tobermory_p223_uk,-6.0642,56.623,1.604650938,TRUE,1.015196398,FALSE,0.667630774,TRUE,0.58953933,FALSE
124,toulon_france,5.9131,43.117,-0.022623544,FALSE,-0.126512505,FALSE,0.087901224,FALSE,-0.075701793,FALSE
125,tregde_006_norway,7.5666,58,0.578187466,TRUE,0.415200171,FALSE,0.580195831,TRUE,0.654854935,TRUE
126,trieste_270061_italy,13.75,45.65,0.362841147,FALSE,0.284301565,FALSE,0.15075169,FALSE,-0.190227396,FALSE
